Name,Price,Mileage,Engine,Safety,Fuel_type,Transmission,Seating_capacity
Maruti Alto K10,Rs.  3.99 - 5.96 Lakh,24.39,998.0,2.0,Petrol & CNG,Manual & Automatic,5 Seater
Maruti S-Presso,Rs.  4.26 - 6.11 Lakh,24.44,998.0,0.0,Petrol & CNG,Manual & Automatic,4 & 5 Seater
Renault Kwid,Rs.  4.70 - 6.45 Lakh,21.7,999.0,1.0,Petrol,Manual & Automatic,5 Seater
Maruti Ignis,Rs.  5.84 - 8.30 Lakh,20.89,1197.0,,Petrol,Manual & Automatic,5 Seater
Maruti Eeco,Rs.  5.32 - 6.58 Lakh,,1197.0,,Petrol & CNG,Manual,5 & 7 Seater
Renault Kiger,Rs.  6.00 - 11.23 Lakh,,,,,,
Maruti Celerio,Rs.  5.36 - 7.10 Lakh,,,,,,
Citroen C3,Rs.  6.16 - 9.08 Lakh,19.3,1198.0,,Petrol,Manual,5 Seater
Renault Triber,Rs.  6.00 - 8.98 Lakh,18.2,999.0,4.0,Petrol,Manual & Automatic,7 Seater
Maruti Brezza,Rs.  8.34 - 14.14 Lakh,19.05,1462.0,,Petrol & CNG,Manual & Automatic,5 Seater
Tata Nexon,Rs.  8.10 - 15.50 Lakh,17.01,1199.0,5.0,Petrol & Diesel,Manual & Automatic,5 Seater
Force Motors Trax Cruiser,Rs.  13.83 - 15.23 Lakh,,2596.0,,Diesel,Manual,10 & 13 Seater
Tata Tigor EV,Rs.  12.49 - 13.75 Lakh,,,4.0,Electric,Automatic,5 Seater
Mahindra Marazzo,Rs.  14.39 - 16.80 Lakh,,1497.0,4.0,Diesel,Manual,7 & 8 Seater
Citroen eC3,Rs.  11.61 - 13.50 Lakh,,,,Electric,Automatic,5 Seater
Hyundai Venue N Line,Rs.  12.08 - 13.90 Lakh,,998.0,,Petrol,Manual & Automatic,5 Seater
Volkswagen Taigun,Rs.  11.70 - 21.10 Lakh,18.15,999.0,5.0,Petrol,Manual & Automatic,5 Seater
Maruti XL6,Rs.  11.56 - 14.82 Lakh,,,,,,
Honda City,Rs.  11.74 - 16.22 Lakh,,,,,,
Skoda Slavia,Rs.  11.53 - 19.12 Lakh,18.73,999.0,5.0,Petrol,Manual & Automatic,5 Seater
Tata Nexon EV,Rs.  14.74 - 19.94 Lakh,,,,Electric,Automatic,5 Seater
Maruti Jimny,Rs.  10.74 - 15.05 Lakh,16.39,1462.0,,Petrol,Manual & Automatic,4 Seater
Skoda Kushaq,Rs.  11.89 - 20.49 Lakh,,,,,,
Kia Carens,Rs.  10.45 - 19.45 Lakh,,1482.0,3.0,Petrol & Diesel,"Manual, Clutchless Manual (IMT) & Automatic",6 & 7 Seater
Volkswagen Virtus,Rs.  11.56 - 19.41 Lakh,18.45,999.0,5.0,Petrol,Manual & Automatic,5 Seater
Honda Elevate,Rs.  11.68 - 16.50 Lakh,15.31,1498.0,,Petrol,Manual & Automatic,5 Seater
Toyota Rumion,Rs.  10.29 - 13.68 Lakh,20.11,1462.0,,Petrol & CNG,Manual & Automatic,7 Seater
Hyundai Verna,Rs.  11.00 - 17.42 Lakh,18.6,1482.0,5.0,Petrol,Manual & Automatic,5 Seater
MG Hector,Rs.  15.00 - 22.20 Lakh,,1451.0,,Petrol & Diesel,Manual & Automatic,5 Seater
Toyota Urban Cruiser Hyryder,Rs.  11.14 - 20.19 Lakh,20.58,1462.0,,Hybrid & CNG,Manual & Automatic,5 Seater
Kia Seltos,Rs.  10.90 - 20.30 Lakh,,,,,,
Mahindra Scorpio,Rs.  13.59 - 17.35 Lakh,,2184.0,,Diesel,Manual,7 & 9 Seater
Maruti Grand Vitara,Rs.  10.70 - 19.92 Lakh,20.58,1462.0,,Hybrid & CNG,Manual & Automatic,5 Seater
Mahindra Thar,Rs.  11.25 - 17.20 Lakh,,,,,,
Mahindra XUV700,Rs.  13.99 - 26.99 Lakh,,1997.0,5.0,Petrol & Diesel,Manual & Automatic,"5, 6 & 7 Seater"
Mahindra Scorpio N,Rs.  13.60 - 24.54 Lakh,,1997.0,5.0,Petrol & Diesel,Manual & Automatic,6 & 7 Seater
Tata Punch EV,Rs.  10.99 - 15.49 Lakh,,,,Electric,Automatic,5 Seater
Hyundai Creta,Rs.  11.00 - 20.15 Lakh,,1482.0,,Petrol & Diesel,Manual & Automatic,5 Seater
Honda City Hybrid eHEV,Rs.  18.93 - 20.43 Lakh,27.1,1498.0,,Hybrid,Automatic,5 Seater
Force Motors Gurkha,Rs. 15.10 Lakh,,2596.0,,Diesel,Manual,4 Seater
Isuzu D-Max,Rs.  19.50 - 27.00 Lakh,,1898.0,5.0,Diesel,Manual & Automatic,5 Seater
Hyundai Alcazar,Rs.  16.77 - 21.28 Lakh,18.1,1482.0,,Petrol & Diesel,Manual & Automatic,6 & 7 Seater
MG Hector Plus,Rs.  17.80 - 22.98 Lakh,,1451.0,,Petrol & Diesel,Manual & Automatic,6 & 7 Seater
Jeep Compass,Rs.  20.69 - 32.27 Lakh,16.2,1956.0,5.0,Diesel,Manual & Automatic,5 Seater
Mahindra XUV400,Rs.  15.49 - 19.19 Lakh,,,,Electric,Automatic,5 Seater
Toyota Innova Hycross,Rs.  19.77 - 30.68 Lakh,16.13,1987.0,,Petrol & Hybrid,Automatic,7 & 8 Seater
Tata Safari,Rs.  16.19 - 27.34 Lakh,14.5,1956.0,5.0,Diesel,Manual & Automatic,6 & 7 Seater
Toyota Innova Crysta,Rs.  19.99 - 18.65 Lakh,,2393.0,5.0,Diesel,Manual,7 & 8 Seater
Tata Harrier,Rs.  15.49 - 26.44 Lakh,14.6,1956.0,5.0,Diesel,Manual & Automatic,5 Seater
